policy_id,policy_family,policy_variant,analysis_only,selection_mode,selection_key,split,chunk_words,aggregation,task,example_count,strict_precision,strict_recall,strict_f1,masking_f2,mean_commit_context_words,selection_error_rate,gold_premature_rate,wrong_commitment_rate,missed_entity_rate
snapshot-patience:main:f6a5b64c42ef6674,snapshot-patience,main,False,matched_quality,snapshot-patience,test,1,task,privy,300,0.8721804511278195,0.6810176125244618,0.7648351648351648,0.7588510606174982,18.25287356321839,0.26483516483516484,0.06766917293233082,0.12781954887218044,0.31898238747553814
snapshot-patience:main:f6a5b64c42ef6674,snapshot-patience,main,False,matched_quality,snapshot-patience,test,1,overall,__overall__,1200,0.7741211667913238,0.6452618453865336,0.703842230533832,0.7572660960682912,6.529468599033817,0.3339000340020401,0.08302169035153328,0.22587883320867613,0.35473815461346636
stability-gate:full:080296f6ef11f336,stability-gate,full,False,matched_quality,stability-gate/full,test,1,task,ai4privacy-en,300,0.6271186440677966,0.4781906300484653,0.542621448212649,0.6312174324964471,1.6114864864864864,0.4940421631530706,0.0847457627118644,0.3728813559322034,0.5218093699515347
stability-gate:full:080296f6ef11f336,stability-gate,full,False,matched_quality,stability-gate/full,test,1,task,gretel,300,0.472,0.3769968051118211,0.4191829484902309,0.5263019601660622,2.016949152542373,0.6127886323268206,0.072,0.528,0.6230031948881789
stability-gate:full:080296f6ef11f336,stability-gate,full,False,matched_quality,stability-gate/full,test,1,task,nemotron-pii,300,0.4489795918367347,0.40993788819875776,0.4285714285714286,0.35567416221891685,1.621212121212121,0.5876623376623377,0.034013605442176874,0.5510204081632653,0.5900621118012422
stability-gate:full:080296f6ef11f336,stability-gate,full,False,matched_quality,stability-gate/full,test,1,task,privy,300,0.5763546798029556,0.22896281800391388,0.32773109243697474,0.2834142495539234,5.128205128205129,0.7016806722689075,0.10344827586206896,0.4236453201970443,0.7710371819960861
stability-gate:full:080296f6ef11f336,stability-gate,full,False,matched_quality,stability-gate/full,test,1,overall,__overall__,1200,0.5569029850746269,0.3721945137157107,0.4461883408071749,0.47039031755656224,2.3819095477386933,0.5852017937219731,0.07835820895522388,0.4430970149253731,0.6278054862842892
ema:main:52cb0bd12701c8e7,ema,main,False,matched_latency,ema,test,1,task,ai4privacy-en,300,0.7398190045248869,0.5282714054927302,0.6163996229971725,0.7008621851003638,0.5107033639143731,0.4429783223374175,0.1425339366515837,0.26018099547511314,0.4717285945072698
ema:main:52cb0bd12701c8e7,ema,main,False,matched_latency,ema,test,1,task,gretel,300,0.6820987654320988,0.7060702875399361,0.6938775510204083,0.8087800551832873,0.7058823529411765,0.32967032967032966,0.046296296296296294,0.31790123456790126,0.2939297124600639
ema:main:52cb0bd12701c8e7,ema,main,False,matched_latency,ema,test,1,task,nemotron-pii,300,0.8562091503267973,0.8136645962732919,0.8343949044585988,0.7740989103101424,0.5038167938931297,0.18152866242038215,0.032679738562091505,0.1437908496732026,0.18633540372670807
ema:main:52cb0bd12701c8e7,ema,main,False,matched_latency,ema,test,1,task,privy,300,0.8743718592964824,0.6810176125244618,0.7656765676567656,0.7574098546346988,18.25287356321839,0.264026402640264,0.0678391959798995,0.12562814070351758,0.31898238747553814
